operational data set;training data set;Accuracy Average ;Accuracy TNT;Accuracy Perceptron;Accuracy CRF;Similarity Cosine;Similarity LSA;Similarity Jaccard
treebank;brown_adventure;0,8106;0,7499;0,8216;0,8602;0.890;0.636;0.021
treebank;brown_belles_lettres;0,8282;0,7759;0,8245;0,8842;0.915;0.668;0.028
treebank;brown_editorial;0,8308;0,7929;0,8151;0,8844;0.917;0.686;0.031
treebank;brown_fiction;0,8191;0,7635;0,8263;0,8674;0.904;0.631;0.022
treebank;brown_government;0,8349;0,805;0,805;0,8946;0.903;0.662;0.033
treebank;brown_hobbies;0,8109;0,7499;0,8129;0,87;0.908;0.660;0.029
treebank;brown_humor;0,8141;0,7538;0,8213;0,8672;0.896;0.614;0.015
treebank;brown_learned;0,8315;0,77;0,8252;0,8994;0.903;0.645;0.028
treebank;brown_lore;0,8307;0,7753;0,828;0,8887;0.918;0.673;0.031
treebank;brown_mystery;0,8176;0,7716;0,8193;0,862;0.882;0.647;0.023
treebank;brown_religion;0,8298;0,7848;0,8192;0,8853;0.900;0.591;0.02
treebank;brown_reviews;0,8111;0,7386;0,8168;0,8778;0.915;0.643;0.022
treebank;brown_romance;0,8148;0,7689;0,8178;0,8577;0.889;0.649;0.023
treebank;brown_science_fiction;0,8201;0,7653;0,8274;0,8675;0.890;0.560;0.012
treebank;conll;0,8859;0,8704;0,849;0,9383;0.945;0.880;0.067
treebank;nps;0,5472;0,4893;0,5744;0,5778;0.487;0.366;0.008
treebank;train_sents_treebank;0,8957;0,8504;0,8963;0,9403;0.987;0.462;0.066
treebank;twitter;0,5684;0,5033;0,5691;0,6328;0.468;0.532;0.01
fiction;brown_adventure;0,9048;0,8581;0,9171;0,9391;0.991;0.943;0.064
fiction;brown_belles_lettres;0,8714;0,8052;0,8823;0,9269;0.976;0.922;0.041
fiction;brown_editorial;0,8547;0,7827;0,8644;0,9171;0.985;0.871;0.037
fiction;brown_government;0,8272;0,7324;0,8429;0,9061;0.942;0.742;0.023
fiction;brown_hobbies;0,8411;0,7595;0,8654;0,8982;0.973;0.862;0.033
fiction;brown_humor;0,8847;0,8282;0,8972;0,9288;0.971;0.903;0.036
fiction;brown_learned;0,838;0,7367;0,8649;0,9123;0.961;0.824;0.027
fiction;brown_lore;0,8655;0,7953;0,879;0,9222;0.980;0.912;0.042
fiction;brown_mystery;0,9064;0,8671;0,9126;0,9396;0.988;0.932;0.063
fiction;brown_religion;0,8717;0,8135;0,8776;0,9242;0.967;0.848;0.033
fiction;brown_reviews;0,8488;0,7666;0,8688;0,9112;0.965;0.872;0.031
fiction;brown_romance;0,9062;0,8697;0,9098;0,939;0.990;0.950;0.066
fiction;brown_science_fiction;0,8916;0,8359;0,9056;0,9332;0.987;0.866;0.03
fiction;conll;0,7782;0,6521;0,8427;0,8399;0.953;0.785;0.024
fiction;nps;0,5612;0,4604;0,6103;0,613;0.607;0.495;0.018
fiction;train_sents_brown_fiction;0,8795;0,8239;0,8879;0,9265;0.987;0.330;0.051
fiction;treebank;0,7642;0,6143;0,8863;0,7919;0.904;0.631;0.022
fiction;twitter;0,6214;0,5358;0,6367;0,6918;0.578;0.715;0.019
reviews;brown_adventure;0,8381;0,7899;0,8201;0,9042;0.944;0.858;0.029
reviews;brown_belles_lettres;0,8485;0,8085;0,8119;0,9251;0.992;0.923;0.03
reviews;brown_editorial;0,8297;0,7953;0,7775;0,9164;0.979;0.888;0.034
reviews;brown_fiction;0,8446;0,8019;0,82;0,9118;0.965;0.872;0.031
reviews;brown_government;0,8108;0,7721;0,746;0,9143;0.967;0.799;0.026
reviews;brown_hobbies;0,8142;0,7618;0,7839;0,8968;0.972;0.872;0.03
reviews;brown_humor;0,8426;0,7997;0,8146;0,9136;0.973;0.859;0.028
reviews;brown_learned;0,8277;0,7706;0,7928;0,9197;0.972;0.862;0.024
reviews;brown_lore;0,8365;0,791;0,8013;0,9172;0.989;0.905;0.032
reviews;brown_mystery;0,8401;0,8079;0,8073;0,9051;0.935;0.854;0.031
reviews;brown_religion;0,8454;0,8132;0,7985;0,9244;0.980;0.847;0.031
reviews;brown_romance;0,842;0,8141;0,8085;0,9032;0.950;0.870;0.032
reviews;brown_science_fiction;0,8476;0,8081;0,8219;0,9129;0.956;0.805;0.024
reviews;conll;0,722;0,6736;0,6455;0,8469;0.963;0.807;0.02
reviews;nps;0,5057;0,4391;0,5148;0,5632;0.510;0.447;0.01
